,Model Name,Dim,Method,Samples,Runtime_v,Runtime_f,Volume
0,"System(R, (x1, y1, x2, y2), [[1.2500000000000000 .. 1.5500000000000001], [2.3500000000000000 .. 2.4500000000000002], [1.2500000000000000 .. 1.5500000000000001], [2.3500000000000000 .. 2.4500000000000002]], (y1, -x1^2*y1 - 2*x1 + y1 + x2, y2, -x2^2*y2 + x1 - 2*x2 + y2), varmap=bidict({'x1': x1, 'y1': y1, 'x2': x2, 'y2': y2})))",4.0,sensitive,100,57.64033157701488,60.45941567700356,0.0255552836839239
0,"System(R, (x1, y1, x2, y2), [[1.2500000000000000 .. 1.5500000000000001], [2.3500000000000000 .. 2.4500000000000002], [1.2500000000000000 .. 1.5500000000000001], [2.3500000000000000 .. 2.4500000000000002]], (y1, -x1^2*y1 - 2*x1 + y1 + x2, y2, -x2^2*y2 + x1 - 2*x2 + y2), varmap=bidict({'x1': x1, 'y1': y1, 'x2': x2, 'y2': y2})))",4.0,lipschitz,100,3.0014951360062696,15.359671231009997,0.0190395991662916
0,"System(R, (x1, y1, x2, y2), [[1.2500000000000000 .. 1.5500000000000001], [2.3500000000000000 .. 2.4500000000000002], [1.2500000000000000 .. 1.5500000000000001], [2.3500000000000000 .. 2.4500000000000002]], (y1, -x1^2*y1 - 2*x1 + y1 + x2, y2, -x2^2*y2 + x1 - 2*x2 + y2), varmap=bidict({'x1': x1, 'y1': y1, 'x2': x2, 'y2': y2})))",4.0,sensitive,150,85.73635425500106,88.64359322498785,0.0263083610738674
0,"System(R, (x1, y1, x2, y2), [[1.2500000000000000 .. 1.5500000000000001], [2.3500000000000000 .. 2.4500000000000002], [1.2500000000000000 .. 1.5500000000000001], [2.3500000000000000 .. 2.4500000000000002]], (y1, -x1^2*y1 - 2*x1 + y1 + x2, y2, -x2^2*y2 + x1 - 2*x2 + y2), varmap=bidict({'x1': x1, 'y1': y1, 'x2': x2, 'y2': y2})))",4.0,lipschitz,150,4.4107978959800676,23.484742670989363,0.0222073891050921
0,"System(R, (x1, y1, x2, y2), [[1.2500000000000000 .. 1.5500000000000001], [2.3500000000000000 .. 2.4500000000000002], [1.2500000000000000 .. 1.5500000000000001], [2.3500000000000000 .. 2.4500000000000002]], (y1, -x1^2*y1 - 2*x1 + y1 + x2, y2, -x2^2*y2 + x1 - 2*x2 + y2), varmap=bidict({'x1': x1, 'y1': y1, 'x2': x2, 'y2': y2})))",4.0,sensitive,200,115.09324668100453,118.96786130400142,0.0290595192374700
0,"System(R, (x1, y1, x2, y2), [[1.2500000000000000 .. 1.5500000000000001], [2.3500000000000000 .. 2.4500000000000002], [1.2500000000000000 .. 1.5500000000000001], [2.3500000000000000 .. 2.4500000000000002]], (y1, -x1^2*y1 - 2*x1 + y1 + x2, y2, -x2^2*y2 + x1 - 2*x2 + y2), varmap=bidict({'x1': x1, 'y1': y1, 'x2': x2, 'y2': y2})))",4.0,lipschitz,200,5.6537206759967376,31.605954639991978,0.0201889452042217
0,"System(R, (x1, y1, x2, y2), [[1.2500000000000000 .. 1.5500000000000001], [2.3500000000000000 .. 2.4500000000000002], [1.2500000000000000 .. 1.5500000000000001], [2.3500000000000000 .. 2.4500000000000002]], (y1, -x1^2*y1 - 2*x1 + y1 + x2, y2, -x2^2*y2 + x1 - 2*x2 + y2), varmap=bidict({'x1': x1, 'y1': y1, 'x2': x2, 'y2': y2})))",4.0,sensitive,400,236.64936713999487,244.5000651049777,0.0266424762400544
0,"System(R, (x1, y1, x2, y2), [[1.2500000000000000 .. 1.5500000000000001], [2.3500000000000000 .. 2.4500000000000002], [1.2500000000000000 .. 1.5500000000000001], [2.3500000000000000 .. 2.4500000000000002]], (y1, -x1^2*y1 - 2*x1 + y1 + x2, y2, -x2^2*y2 + x1 - 2*x2 + y2), varmap=bidict({'x1': x1, 'y1': y1, 'x2': x2, 'y2': y2})))",4.0,lipschitz,400,12.441831206000643,63.06997922298615,0.0201839278445802
0,"System(R, (x1, y1, x2, y2), [[1.2500000000000000 .. 1.5500000000000001], [2.3500000000000000 .. 2.4500000000000002], [1.2500000000000000 .. 1.5500000000000001], [2.3500000000000000 .. 2.4500000000000002]], (y1, -x1^2*y1 - 2*x1 + y1 + x2, y2, -x2^2*y2 + x1 - 2*x2 + y2), varmap=bidict({'x1': x1, 'y1': y1, 'x2': x2, 'y2': y2})))",4.0,sensitive,500,291.22097134398064,301.3242731789942,0.0275505592875785
0,"System(R, (x1, y1, x2, y2), [[1.2500000000000000 .. 1.5500000000000001], [2.3500000000000000 .. 2.4500000000000002], [1.2500000000000000 .. 1.5500000000000001], [2.3500000000000000 .. 2.4500000000000002]], (y1, -x1^2*y1 - 2*x1 + y1 + x2, y2, -x2^2*y2 + x1 - 2*x2 + y2), varmap=bidict({'x1': x1, 'y1': y1, 'x2': x2, 'y2': y2})))",4.0,lipschitz,500,14.804513123002835,78.34419372101547,0.0252356127269904
0,"System(R, (x1, y1, x2, y2), [[1.2500000000000000 .. 1.5500000000000001], [2.3500000000000000 .. 2.4500000000000002], [1.2500000000000000 .. 1.5500000000000001], [2.3500000000000000 .. 2.4500000000000002]], (y1, -x1^2*y1 - 2*x1 + y1 + x2, y2, -x2^2*y2 + x1 - 2*x2 + y2), varmap=bidict({'x1': x1, 'y1': y1, 'x2': x2, 'y2': y2})))",4.0,sensitive,750,438.5742325190222,454.2152170460031,0.0271113087095486
